720575940630302551,720575940630396790,16
720575940631153194,720575940626258690,38
720575940637175349,720575940654167201,6
720575940610638434,720575940634299071,1
720575940606743170,720575940615723077,5
720575940617884736,720575940609076693,7
720575940617362772,720575940620424472,2
720575940630353682,720575940622609678,10
720575940627642818,720575940609014370,7
720575940632715359,720575940622609678,32
720575940605308082,720575940615723077,4
720575940610358990,720575940644968302,9
720575940622699196,720575940621713672,10
720575940622065432,720575940610558357,5
720575940627410944,720575940611674265,16
720575940614840891,720575940605308082,13
720575940614840891,720575940628267264,14
720575940644968302,720575940612975853,19
720575940630353682,720575940618833840,11
720575940622577336,720575940615930299,7
720575940609832410,720575940632303807,1
720575940618524481,720575940617197057,2
720575940629283659,720575940632649697,17
720575940620195719,720575940636504553,15
720575940622097959,720575940603186790,32
720575940624872179,720575940634299071,3
720575940630258003,720575940622969528,1
720575940630223052,720575940631153194,1
720575940606010569,720575940621540586,5
720575940633040097,720575940627263375,1
720575940620581748,720575940631153194,7
720575940654117025,720575940606743170,1
720575940635981742,720575940619405812,6
720575940611674265,720575940631922969,4
720575940606332629,720575940621447077,49
720575940637410394,720575940623787495,2
720575940621558762,720575940626228329,5
720575940611674265,720575940616611382,1
720575940618758753,720575940630258003,24
720575940637410394,720575940644968302,6
720575940614840891,720575940644968302,4
720575940607188036,720575940634299071,2
720575940621800798,720575940611864243,2
720575940629938487,720575940624704393,5
720575940649911286,720575940620929416,16
720575940637410394,720575940610358990,2
720575940607188036,720575940609927141,14
720575940621043753,720575940611864243,3
720575940634299071,720575940632157631,3
720575940629913169,720575940637410394,5
720575940618066415,720575940629938487,125
720575940626562570,720575940649911286,27
720575940611674265,720575940627957719,4
720575940625989904,720575940630353682,17
720575940621835246,720575940607371076,1
720575940625887631,720575940624087283,1
720575940622254375,720575940617117656,13
720575940618758753,720575940644968302,1
720575940621043753,720575940625887631,4
720575940632649697,720575940644968302,1
720575940606743170,720575940628910095,1
720575940616211013,720575940616804806,4
720575940610504750,720575940623113752,1
720575940613422860,720575940617197057,7
720575940625683176,720575940634299071,5
720575940614840891,720575940630258003,13
720575940630749523,720575940629938487,7
