id,0.0,primary_type,additional_type(s),Neuropils,preference
720575940604589856,8,CB1395,,,
720575940604590048,5,LB3,,,
720575940604590304,4,CB3858,,,
720575940604601022,2,LC11,,,
720575940604607689,6,CB3858,,,
720575940604609504,8,CB2433,,,
720575940604621257,2,,,,
720575940604624998,8,PVLP113,,,
720575940604630560,8,LC11,,,
720575940604643872,2,LC18,,,
720575940604646316,2,LC15,,,
720575940604653484,1,CB0466,,,
720575940604658366,3,CB1708,,,
720575940604681830,8,LC9,,,
720575940604682976,2,CB0997,,,
720575940604685513,2,CB3263,,,
720575940604690278,3,LAL098,,,
720575940604693164,2,,,,
720575940604705312,7,CB2282,,,
720575940604706592,8,CB2433,,,
720575940604714528,5,LB1a,,,
720575940604722278,3,,,,
720575940604725606,2,LC18,,,
720575940604727264,3,DNge020,,,
720575940604729056,3,CB0170,,,
720575940604729312,1,DNge094,,,
720575940604731308,7,BM_InOm,,,
720575940604731838,1,CB1202,,,
720575940604732350,3,CB1294,aSP16,,
720575940604735660,3,CB0049,,,
720575940604737708,3,DNa02,,,
720575940604745346,1,CB1145,,,
720575940604748134,2,CL004,,,
720575940604749758,2,LC16,,,
720575940604753254,8,CB1552,,,
720575940604753437,1,JO-CL,,,
720575940604756000,2,CL340,,,
720575940604759910,8,CL165,,,
720575940604763326,4,AVLP257,,,
720575940604763494,7,BM_InOm,,,
720575940604764862,10,CB3312,,,
720575940604772576,1,CB1233,,,
720575940604781158,7,JO-F,,,
720575940604783136,1,DNg56,,,
720575940604791217,5,CB1517,,,
720575940604804030,2,AVLP521,,,
720575940604805036,1,JO-B,,,
720575940604808736,1,,,,
720575940604814526,1,WED070,,,
720575940604820354,3,AN_GNG_168,,,
720575940604826802,6,AVLP190,AVLP191,,
720575940604828076,8,CB1017,,,
720575940604834494,2,LC17,,,
720575940604837041,4,CB1447,,,
720575940604838432,2,AVLP011,"AVLP012, aSP6",,
720575940604839200,1,CB1078,"B1-2, aPN1",B1,pulse
720575940604843436,8,CL128a,CL128,,
720575940604843710,2,AN_AVLP_GNG_20,,,
720575940604852146,5,,,,
720575940604852326,2,AVLP234b,AVLP234,,
720575940604865312,2,AN_AVLP_GNG_9,,,
720575940604866750,1,CB1983,,,
720575940604870577,1,LAL156b,LAL156,,
720575940604874208,1,LHPV2i2b,LHPV2i2,,
720575940604879025,1,JO-E,,,
720575940604891360,5,AN_GNG_PRW_3,,,
720575940604893361,5,CB0351,,,
720575940604901310,7,JO-F,,,
720575940604903298,2,LC17,,,
720575940604906016,8,PLP150b,PLP150,,
720575940604907710,2,LC15,,,
720575940604912770,3,AN_GNG_92,,,
720575940604914353,4,CB1678,,,
720575940604921446,8,LHAD1j1,,,
720575940604922982,2,LC9,,,
720575940604926082,1,SA_DMT_DMetaN_10,,,
720575940604930481,3,DNge019,,,
720575940604930918,4,,,,
720575940604938156,4,AVLP160,,,
720575940604938342,8,CB2248,,,
720575940604941234,8,CB2828,LHPV2c1,,
720575940604946865,1,CB0654,hb-1283392486,,
720575940604954289,1,DNp04,,,
720575940604970430,6,CB3122,,,
720575940604972209,7,BM_InOm,,,
720575940604976318,1,JO-E,,,
720575940604982450,1,CB2858,aIP2,,
720575940604984678,1,CB1094,,,
720575940604988332,1,JO-B,,,
720575940604991409,7,BM_InOm,,,
720575940604994336,2,,,,
720575940604999614,4,CB3708,,,
720575940605007136,4,CB1724,,,
720575940605007550,2,LC15,,,
720575940605009097,3,DNpe004,,,
720575940605010609,2,LC17,,,
720575940605013420,8,aSP-f1A,"aSP-f1B, aSP-f2, aSP5",,
720575940605016777,8,LC12,,,
720575940605019057,8,,,,
720575940605020337,8,LC9,,,
720575940605023008,2,CB1412,,,
720575940605024386,2,LC31a,LC31,,
720575940605027529,8,SLP275,,,
720575940605028017,5,AVLP446,,,
720575940605029036,8,LHAV2d1,,,
720575940605030316,8,DSKMP3,,,
720575940605040300,8,LHAD1f4b,"LHAD1f4, pSP3",,
720575940605041324,5,aSP-f4,,,
720575940605041330,3,DNp16,,,
720575940605068390,11,CB0959,,,
720575940605074278,8,CB3652,,,
720575940605075116,3,AN_GNG_82,,,
720575940605076401,3,AN_IPS_LAL_1,,,
720575940605080422,2,AVLP182,,,
720575940605080608,8,SLP061,,,
720575940605093310,1,PLP103a,PLP103,,
720575940605095346,1,WV-WV-2,,,
720575940605100320,2,AVLP055,,,
720575940605102526,6,CB2181,,,
720575940605107121,1,CB1881,,,
720575940605114754,2,AVLP451a,"AVLP451, AVLP/PVLP_pr01",,
720575940605115337,2,CB0029,,,
720575940605118054,3,CB1845,,,
720575940605118142,6,CB1605,,,
720575940605119776,7,AN_GNG_SAD_2,,,
720575940605125152,2,,,,
720575940605137538,2,CB1762,aIP2,,
720575940605154336,8,AVLP380b,AVLP380,,
720575940605154988,7,AN_GNG_40,,,
720575940605158572,5,AN_GNG_PRW_4,,,
720575940605161388,5,,,,
720575940605162924,3,DNpe030,,,
720575940605173705,2,LC17,,,
720575940605173792,3,AN_GNG_SAD_27,,,
720575940605177534,3,CB2580,,,
720575940605187970,1,CB3746,,,
720575940605188226,8,VES058,,,
720575940605188542,1,CB0607,,,
720575940605190078,1,CB2633,,,
720575940605209521,1,JO-B,,,
720575940605214636,1,WV-WV-3,,,
720575940605218220,3,CB0200,,,
720575940605223601,3,AN_GNG_177,,,
720575940605238188,1,JO-B,,,
720575940605238206,3,cM12,IB029,,
720575940605242242,8,LC16,,,
720575940605244704,1,SA_DMT_ADMN_11,,,
720575940605248130,8,CB2396,,,
720575940605248898,8,AVLP469b,AVLP469,,
720575940605249154,8,CB0732,PVLP098,,
720575940605255042,2,CL086_c,,,
720575940605256649,2,PVLP128,,,
720575940605256894,4,AN_AVLP_53,,,
720575940605269378,6,CB1810,,,
720575940605274825,1,WED164b,WED164,,
720575940605277641,7,BM_InOm,,,
720575940605277798,8,,,,
720575940605282406,3,DNg12_e,,,
720575940605282505,7,BM_InOm,,,
720575940605287358,3,,,,
720575940605287881,3,CB1356,,,
720575940605291040,7,BM_InOm,,,
720575940605291138,8,LC24,,,
720575940605291650,8,LC12,,,
720575940605298121,1,CB0979,,,
720575940605298353,4,CB1605,,,
720575940605299889,2,CB2966,,,
720575940605300140,5,DNg26,,,
720575940605302974,8,CL037,aSP30,,
720575940605308082,1,SAD021_c,,WED_pr02,intermediate
720575940605318880,8,LC9,,,
720575940605341216,8,SLP285,,,
720575940605344945,3,CB3372,,,
720575940605345568,2,PVLP133,,,
720575940605353649,1,CB1474,,,
720575940605355721,1,WED100,,,
720575940605367473,2,CB1819,,,
720575940605368497,8,AVLP474,,,
720575940605386930,8,LC11,,,
720575940605395558,8,SMP278a,SMP278,,
720575940605398206,7,BM_InOm,,,
720575940605404546,6,CB1575,,,
720575940605411104,1,LHPV2f2,,,
720575940605411808,1,CL131,,,
720575940605419966,8,LC15,,,
720575940605421745,8,SMP572,,,
720575940605423806,2,CB2581,,,
720575940605424574,7,BM_InOm,,,
720575940605426110,7,BM_MaPa,,,
720575940605433022,7,BM_InOm,,,
720575940605435010,1,WED145,,,
720575940605443017,5,CB1488,,,
720575940605444809,2,LC12,,,
720575940605450342,3,DNge087,,,
720575940605465888,12,MTe45,hb-759632919,,
720575940605475774,8,CB2330,,,
720575940605487550,8,LC43,,,
720575940605488305,1,CB1908,,,
720575940605494560,3,SAD043,,,
720575940605498302,1,CB1978,,,
720575940605513649,3,DNg90,,,
720575940605552818,1,,,,
720575940605558402,7,BM_InOm,,,
720575940605582508,2,LC40,"LC40a, LC40b",,
720575940605587558,8,CL090_e,,,
720575940605589378,5,CB2367,,,
720575940605598892,1,LC4,,,
720575940605601214,2,CL065,,,
720575940605604030,8,SMP159,,,
720575940605607392,3,PLP249,,,
720575940605611209,8,CB2260,,AVLP_pr05,intermediate
720575940605622118,1,JO-B,,,
720575940605622658,7,BM_InOm,,,
720575940605627424,1,JO-C,,,
720575940605633824,4,CB3415,,,
720575940605639810,2,CL160,,,
720575940605648002,1,CL121,CL122,,
720575940605656521,1,DNge015,,,
720575940605658033,3,DNge125,,,
720575940605662822,3,AN_GNG_SAD_24,,,
720575940605667458,1,CB2440,,,
720575940605676210,1,CB2371,,,
720575940605681440,8,AVLP037,AVLP038,,
720575940605682790,5,,,,
720575940605692704,3,AN_GNG_175,,,
720575940605694240,5,CB3004,,,
720575940605694752,8,AN_AVLP_GNG_9,,,
720575940605695665,5,TPMN,,,
720575940605697824,7,BM_Fr,,,
720575940605698080,5,CB2553,,,
720575940605699104,7,,,,
720575940605702176,3,CB0531,,,
720575940605702944,8,DNpe040,CL320,,
720575940605703456,5,CB1974,,,
720575940605704550,2,PVLP028,,,
720575940605705406,8,CB2650,,,
720575940605707198,2,AN_AVLP_1,,,
720575940605707710,5,CB0525,,,
720575940605708478,3,AN_multi_75,,,
720575940605714878,3,DNge136,,,
720575940605720497,2,AVLP541a,AVLP541,,
720575940605725873,5,DNp44,,,
720575940605738114,8,LC17,,,
720575940605739721,2,CB0363,,,
720575940605743648,8,CL210,,,
720575940605771948,1,CB1424,,,
720575940605780140,6,WED107,,,
720575940605797222,8,LC39,,,
720575940605799601,6,AVLP105,,,
720575940605807206,3,cLP03,,,
720575940605811657,3,AN_GNG_166,,,
720575940605817801,6,CB3264,,,
720575940605824946,7,BM_InOm,,,
720575940605825666,8,LPLC2,,,
720575940605830112,8,CL090_a,,,
720575940605834882,3,CB2774,,,
720575940605835465,2,PLP054,,,
720575940605846962,7,BM_InOm,,,
720575940605856689,8,,,,
720575940605860710,1,JO-E,,,
720575940605876866,1,LAL138,,,
720575940605885897,6,CB1205,,,
720575940605890784,5,CB0721,,,
720575940605891506,3,CB3111,,,
720575940605899692,2,LT1d,LT1,,
720575940605899878,8,MTe54,MC62,,
720575940605903490,8,LC21,,,
720575940605916640,3,AN_multi_101,,,
720575940605916896,2,AVLP026,,,
720575940605919334,1,JO-EDC,,,
720575940605924994,3,CB2774,,,
720575940605927904,8,CB3464,,,
720575940605928066,2,LC25,,,
720575940605929161,1,JO-E,,,
720575940605934112,8,LC31a,LC31,,
720575940605937074,1,CB2024,,,
720575940605937097,2,AVLP202,,,
720575940605948076,3,PS098,,,
720575940605950496,3,DNg76,,,
720575940605970377,6,AVLP584,,,
720575940605971330,5,CB2353,,,
720575940605976521,5,AN_multi_34,,,
720575940605995721,4,AVLP550b,AVLP550,,
720575940605997233,1,JO-E,,,
720575940606002609,5,LB3,,,
720575940606004866,5,CB1898,,,
720575940606010057,8,SLP247,,,
720575940606010569,1,CB1425,B1-3,B1,pulse
720575940606018690,4,CB2488,,,
720575940606038729,1,CB1978,,,
720575940606046892,1,CB0641,hb-699652692,,
720575940606059977,2,AVLP310b,AVLP310,,
720575940606077570,2,PLP115_b,,,
720575940606083273,1,CB1450,,,
720575940606083529,8,CB1684,hb-5812991151,,
720575940606084444,1,AOTU048,AOTU049,,
720575940606099842,4,CB2651,,,
720575940606101634,7,BM_dPoOr,,,
720575940606111433,1,CB2858,aIP2,,
720575940606112940,3,DNg13,hb-1696530677,,
720575940606119625,2,CL108,,,
720575940606126438,2,LPLC2,,,
720575940606130860,2,AVLP312b,AVLP312,,
720575940606134444,8,CB1129,,,
720575940606149321,8,AVLP076,,,
720575940606154370,1,JO-EDC,,,
720575940606162306,8,LHAV1d2,,,
720575940606163842,3,,,,
720575940606173630,8,LC16,,,
720575940606179686,2,DNpe021,CL307,,
720575940606185090,1,CB0987,,,
720575940606197193,7,AN_GNG_121,,,
720575940606202891,6,AVLP560,AVLP_pr05,,
720575940606205897,5,LB3,,,
720575940606212786,2,LC18,,,
720575940606217138,8,LPLC2,,,
720575940606218528,3,CB0563,,,
720575940606222014,3,DNge033,,,
720575940606224318,3,AN_GNG_80,,,
720575940606228233,4,AVLP260,,,
720575940606229513,1,CB2081,pIP13,,
720575940606239243,7,JO-FVA,,,
720575940606239666,5,,,,
720575940606254002,5,,,,
720575940606257074,2,LC26,,,
720575940606260402,8,LC18,,,
720575940606264422,8,,,,
720575940606266726,8,SMP569a,SMP569,,
720575940606271618,2,CB3386,,,
720575940606274827,1,AN_IPS_GNG_6,,,
720575940606279179,5,SA_VTV_4,,,
720575940606291211,3,SA_DMT_DMetaN_12,,,
720575940606303755,3,AN_GNG_IPS_19,,,
720575940606308286,1,CB1331,,,
720575940606310748,7,AN_GNG_197,,,
720575940606315138,2,AVLP390,,,
720575940606324402,5,AN_multi_76,,,
720575940606332629,1,CB1078,"B1-1, aPN1",B1,pulse
720575940606336213,1,CB2664,B1-4,B1,pulse
720575940606342089,3,DNg78,,,
720575940606343945,5,SA_VTV_1,,,
720575940606346332,3,AN_GNG_120,,,
720575940606354633,2,AVLP077,,,
720575940606362912,2,LC11,,,
720575940606370517,8,CB3243,,,
720575940606388146,5,CB0208,,,
720575940606391218,3,PS279,,,
720575940606401970,3,,,,
720575940606411698,2,aSP-g1,aSP27,,
720575940606421122,5,CB0695,,,
720575940606423170,2,LC9,,,
720575940606425033,3,DNge136,,,
720575940606425522,1,CB0025,,,
720575940606428850,3,CB2177,,,
720575940606431189,7,JO-FDA,,,
720575940606441941,3,CB2010,,,
720575940606443442,2,LC17,,,
720575940606443977,7,BM_InOm,,,
720575940606446770,2,CB0930,,,
720575940606450955,1,AN_GNG_145,,,
720575940606459266,1,CB1564,,,
720575940606460849,2,LC12,,,
720575940606461216,3,PS137,,,
720575940606461361,2,SLP189,,,
720575940606477746,2,LC6,,,
720575940606482524,1,CB1464,,,
720575940606521180,2,LC9,,,
720575940606522123,8,LCe04,,,
720575940606525058,3,AN_AVLP_28,,,
720575940606526421,5,SA_VTV_5,,,
720575940606536393,7,BM_InOm,,,
720575940606537429,3,AN_GNG_55,,,
720575940606549426,8,LC11,,,
720575940606564482,3,PS018a,PS018,,
720575940606567125,5,SA_VTV_2,,,
720575940606574091,8,PVLP004,PVLP005,,
720575940606578976,2,AVLP342,,,
720575940606584766,1,MeLp1,hb-5813068976,,
720575940606586325,4,,,,
720575940606595518,8,MTe50,,,
720575940606596619,8,AVLP028,,,
720575940606598758,3,CB0544,,,
720575940606599042,7,BM_InOm,,,
720575940606603186,5,AN_multi_83,,,
720575940606605745,3,cLP01,,,
720575940606607234,3,DNge040,,,
720575940606609696,8,PVLP007,,,
720575940606612937,1,JO-A,,,
720575940606613771,1,CB2041,AVLP_pr22,,
720575940606615388,8,CB1789,,,
720575940606617557,7,AN_AVLP_GNG_15,,,
720575940606622566,8,LT74,,,
720575940606624725,8,CB1552,,,
720575940606626994,2,CB3499,,,
720575940606627762,2,CB1088,,,
720575940606628530,8,CB1256,,,
720575940606629809,2,CB3020,,,
720575940606633248,3,DNge058,,,
720575940606635186,3,AN_GNG_SAD_32,,,
720575940606636210,1,CB1983,,,
720575940606640329,7,BM_InOm,,,
720575940606646194,8,CB1657,,,
720575940606648608,1,,,,
720575940606649376,2,LC15,,,
720575940606651936,8,PVLP123a,PVLP123,,
720575940606652117,6,CB1885,,,
720575940606656434,7,BM_InOm,,,
720575940606661833,2,LC21,,,
720575940606663881,2,AN_AVLP_PVLP_1,,,
720575940606667622,1,CB3746,,,
720575940606672486,8,LC6,,,
720575940606677340,8,,,,
720575940606678146,7,BM_InOm,,,
720575940606678795,5,SMP258,"SMP259, SMP260, SMP263, SMP264, SMP265",,
720575940606680450,1,PLP073,,,
720575940606682302,2,aSP-f3,,,
720575940606683266,7,BM_InOm,,,
720575940606684774,8,CL348,,,
720575940606687957,2,CL062_a,AVLP_pr12,AVLP_pr12,pulse
720575940606688779,6,CB1523,,,
720575940606693297,8,PVLP124,,,
720575940606694758,8,,,,
720575940606696369,2,LT87,,,
720575940606699989,3,AN_GNG_175,,,
720575940606702601,3,DNge112,,,
720575940606704562,5,DNpe041,SMP290,,
720575940606718642,7,AN_GNG_62,,,
720575940606720969,3,CB1311,,,
720575940606722662,8,AVLP096,AVLP256,,
720575940606725833,2,CB3061,,,
720575940606726834,3,LAL081,,,
720575940606736002,7,BM_InOm,,,
720575940606738441,1,WED102,WED103,,
720575940606739390,8,LT66,,,
720575940606739634,1,CB2000,,,
720575940606742193,8,CB1315,,,
720575940606743170,1,SAD021_c,,WED_pr02,intermediate
720575940606745790,8,CB1072,,,
720575940606746034,5,CB0532,,,
720575940606747750,8,LC17,,,
720575940606753884,5,DNge153,,,
720575940606757724,1,WED032,,,
720575940606757990,2,,,,
720575940606758667,8,LC17,,,
720575940606762686,1,M_l2PNl20,,,
720575940606765579,1,PLP026,PLP027,,
720575940606765758,3,,,,
720575940606773438,6,CB2207,,,
720575940606775817,8,LC15,,,
720575940606776962,2,CB1961,,,
720575940606784265,3,DNge089,,,
720575940606801282,5,LB3,,,
720575940606806473,2,PLP053a,PLP053,,
720575940606819849,8,,,,
720575940606850569,2,LC18,,,
720575940606850761,3,JO-B,,,
720575940606852018,3,CB0358,,,
720575940606855554,8,LPLC2,,,
720575940606855881,3,VES050,,,
720575940606856405,1,DNge094,,,
720575940606864561,12,cM09,,,
720575940606865330,3,CB0629,hb-2005894552,,
720575940606866377,5,DNg103,,,
720575940606867145,5,CB3485,,,
720575940606868828,12,s-LNv,s-LNv_b,,
720575940606870283,4,CB3407,,,
720575940606870961,1,CB2294,,,
720575940606871497,6,JO-B,,,
720575940606873522,3,CB2473,,,
720575940606878386,3,CB2392,,,
720575940606880779,1,CB2881,,,
720575940606888393,3,MTe39,,,
720575940606894722,2,AVLP433_a,,,
720575940606900354,3,PS027,,,
720575940606902108,5,SMP258,"SMP259, SMP260, SMP263, SMP264, SMP265",,
720575940606912386,1,JO-E,,,
720575940606913202,3,AN_GNG_SAD_8,,,
720575940606919602,1,CB1125,aSP18,,
720575940606920643,2,CB2618,,,
720575940606926466,1,SAD016,,,
720575940606929282,1,,,,
720575940606947202,2,AVLP037,AVLP038,,
720575940606952028,8,LC12,,,
720575940606966281,1,CB2728,,,
720575940606970377,1,CB2935,,,
720575940606986691,7,BM_Fr,,,
720575940606992395,8,LC12,,,
720575940606993074,7,BM_InOm,,,
720575940606999682,8,CB1183,,,
720575940607001474,5,SLP215,,,
720575940607005788,7,BM_InOm,,,
720575940607008011,7,BM_InOm,,,
720575940607008689,3,CB0151,,,
720575940607014530,5,CB0175,,,
720575940607015260,7,BM_InOm,,,
720575940607017993,5,SMP603,,,
720575940607019019,7,BM_InOm,,,
720575940607037707,1,WED095,,,
720575940607041154,1,WEDPN3,,,
720575940607044619,8,LC12,,,
720575940607049941,2,CB2260,AVLP_pr05,AVLP_pr05,intermediate
720575940607052418,8,LC40,"LC40a, LC40b",,
